District,d_mean,d_std
Ampara,100.75,154.6408511912129
Anuradhapura,54.69444444444444,62.7961870746235
Badulla,89.16666666666667,111.39646057470331
Batticaloa,280.0,362.2412771305099
Colombo,1010.4444444444445,961.4426197704735
Galle,271.1111111111111,347.90029587946015
Gampaha,712.4444444444445,788.191508434501
Hambantota,80.11111111111111,82.02500586590402
Jaffna,294.19444444444446,641.2179847510938
Kalutara,362.25,361.6020207750109
Kandy,385.1666666666667,494.6446054636457
Kegalle,120.77777777777777,110.97879105257934
Kilinochchi,15.472222222222221,29.090485544355378
Kurunegala,167.08333333333334,156.7001458655534
Mannar,20.72222222222222,52.14299630335855
Matale,92.5,196.27757313123095
Matara,148.66666666666666,184.68304895530767
Moneragala,14.805555555555555,19.108441581733967
Mulativu,10.0,18.708286933869708
Nuwara Eliya,19.97222222222222,23.874057780792832
Polonnaruwa,26.0,28.19827755631285
Puttalam,97.5,137.825873581746
Ratnapura,195.27777777777777,161.29026382999442
Trincomalee,154.61111111111111,333.88169656569573
Vavuniya,32.72222222222222,67.89555470873148
